Time,Raw,Mag,Freq,ROCOF,EstV,LSE,Trig,Gated
8723.9583,-2232.4764,20068.8171,60.5968,2291.8311,-1792.5325,193550.6392,0,0.0000
8789.0625,-2710.4901,20067.2263,60.4476,-2291.9910,-2286.0070,180185.8645,0,0.0000
8854.1667,-3181.6717,20065.8988,60.5968,2291.9910,-2779.2552,161939.0396,0,0.0000
8919.2708,-3632.5850,20064.8323,60.4476,-2291.8314,-3269.5649,131783.6068,0,0.0000
8984.3750,-4073.9335,20064.0266,60.4476,0.0003,-3757.8725,99894.5842,0,0.0000
9049.4792,-4520.7476,20063.4851,60.4476,0.0000,-4243.8993,76645.0080,0,0.0000
9114.5833,-4974.6215,20063.2076,60.5968,2291.8287,-4728.5576,60547.4604,0,0.0000
9179.6875,-5424.3961,20063.1907,60.4476,-2291.8287,-5209.1823,46316.9884,0,0.0000
9244.7917,-5870.9825,20063.4328,60.4476,-0.0003,-5686.6949,33961.9299,0,0.0000
9309.8958,-6328.2724,20063.9344,60.2984,-2291.8309,-6159.6564,28431.3500,0,0.0000
9375.0000,-6777.3638,20064.6916,60.4476,2291.8311,-6630.1345,21676.4873,0,0.0000
9440.1042,-7227.1385,20065.6997,60.4476,-0.0199,-7096.6830,17018.6287,0,0.0000
9505.2083,-7655.7339,20066.9568,60.2984,-2291.8112,-7557.8986,9571.7378,0,0.0000
9570.3125,-8050.3969,20068.4550,60.4476,2291.8311,-8015.7929,1197.4376,0,0.0000
9635.4167,-8457.1298,20070.1841,60.2984,-2291.8314,-8467.8412,114.7337,0,0.0000
9700.5208,-8865.9124,20072.1390,60.2984,0.0003,-8914.9156,2401.3167,0,0.0000
9765.6250,-9279.0218,20074.3089,60.2984,-0.0000,-9356.7530,6042.1344,0,0.0000
9830.7292,-9715.3602,20076.6842,60.2984,0.0000,-9793.0929,6042.3843,0,0.0000
9895.8333,-10162.6298,20079.2595,60.2984,-0.0025,-10223.6791,3727.0282,0,0.0000
9960.9375,-10601.0177,20082.0215,60.1492,-2291.8287,-10647.2147,2134.1631,0,0.0000
10026.0417,-11038.9502,20084.9672,60.1492,-0.0000,-11064.5213,653.8820,0,0.0000
10091.1458,-11479.8432,20088.0892,60.1492,0.0000,-11475.3515,20.1757,0,0.0000
10156.2500,-11893.1804,20091.3655,60.1492,-0.0000,-11879.4523,188.4613,0,0.0000
10221.3542,-12285.1106,20094.7936,60.1492,0.0000,-12276.5844,72.6962,0,0.0000
10286.4583,-12664.2877,20098.3710,60.1492,-0.0000,-12666.5124,4.9493,0,0.0000
10351.5625,-13027.5235,20102.0859,60.0000,-2291.8312,-13048.0652,421.9638,0,0.0000
10416.6667,-13380.0557,20105.9289,60.0000,0.0000,-13421.9826,1757.8609,0,0.0000
10481.7708,-13724.8450,20109.8897,60.0000,0.0000,-13788.0362,3993.1341,0,0.0000
10546.8750,-14059.3862,20113.9556,60.0000,0.0000,-14145.9999,7501.9336,0,0.0000
10611.9792,-14388.2341,20118.1141,59.8508,-2291.8312,-14494.7997,11356.2126,0,0.0000
10677.0833,-14720.9535,20122.3524,60.0000,2291.8312,-14835.9414,13222.2198,0,0.0000
10742.1875,-15047.0686,20126.6522,59.8508,-2291.8312,-15167.5261,14510.0045,0,0.0000
10807.2917,-15366.3517,20131.0032,59.8508,0.0000,-15490.1974,15337.7781,0,0.0000
10872.3958,-15684.0406,20135.3900,59.8508,-0.0000,-15803.7486,14330.0116,0,0.0000
10937.5000,-15991.2537,20139.7941,59.7016,-2291.8312,-16107.2366,13452.0227,0,0.0000
11002.6042,-16297.1005,20144.2229,59.7016,0.0025,-16401.2676,10850.7879,0,0.0000
11067.7083,-16607.0465,20148.6754,59.7016,-0.0025,-16685.6623,6180.4539,0,0.0000
11132.8125,-16902.1897,20153.1282,59.7016,0.0000,-16960.2281,3368.4553,0,0.0000
11197.9167,-17178.2034,20157.5813,59.7016,-0.0000,-17224.7968,2170.9516,0,0.0000
11263.0208,-17443.0580,20162.0312,59.7016,0.0003,-17479.2030,1306.4644,0,0.0000
11328.1250,-17690.3771,20166.4486,59.5524,-2291.8314,-17722.6774,1043.3091,0,0.0000
11393.2292,-17921.9826,20170.7980,59.5524,-0.0000,-17955.6772,1135.3253,0,0.0000
11458.3333,-18142.6568,20175.0552,59.5524,0.0200,-18178.0354,1251.6390,0,0.0000
11523.4375,-18346.7065,20179.2457,59.4032,-2291.8511,-18389.1285,1799.6265,0,0.0000
11588.5417,-18541.8745,20183.3218,59.5524,2291.8314,-18589.8224,2298.9945,0,0.0000
11653.6458,-18726.3391,20187.3209,59.4032,-2291.8314,-18779.0383,2777.2118,0,0.0000
11718.7500,-18887.5748,20191.2316,59.4032,0.0025,-18957.1549,4841.3960,0,0.0000
11783.8542,-19044.4835,20195.0457,59.4032,-0.0025,-19124.0522,6331.1850,0,0.0000
11848.9583,-19187.2727,20198.8006,59.4032,0.0003,-19279.6611,8535.6116,0,0.0000
