Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1154390400126562048,-1658.22717285156,4972.82861328125,-2182.2216796875,-5.91223001480103,-7104.25439453125,7583.89453125,-6689.7998046875
1154390400126692096,-1812.20532226563,5150.64111328125,-2016.63305664063,0.0,-7542.24755859375,7601.32861328125,-6113.39404296875
1154390400126821888,-1972.10583496094,5316.60009765625,-1845.13049316406,-5.91223001480103,-7971.4814453125,7601.32861328125,-5519.521484375
1154390400126952960,-2132.00634765625,5476.63134765625,-1673.62805175781,0.0,-8383.1953125,7592.61181640625,-4908.18212890625
1154390400127083008,-2280.06225585938,5624.80859375,-1508.03930664063,-5.91223001480103,-8794.9091796875,7575.17724609375,-4279.3759765625
1154390400127213056,-2416.27392578125,5749.27734375,-1336.53686523438,-5.91223001480103,-9189.103515625,7557.7431640625,-3641.83618164063
1154390400127343104,-2546.56298828125,5861.89208984375,-1165.03430175781,0.0,-9548.2578125,7522.87451171875,-2995.56323242188
1154390400127472896,-2670.93017578125,5956.7255859375,-993.531799316406,0.0,-9907.412109375,7470.57177734375,-2340.556640625
1154390400127603968,-2783.45263671875,6045.6318359375,-827.943176269531,0.0,-10240.287109375,7400.8349609375,-1703.01696777344
1154390400127734016,-2878.20849609375,6122.68408203125,-662.354553222656,0.0,-10538.123046875,7313.6640625,-1048.01049804688
1154390400127864064,-2984.80883789063,6176.02783203125,-496.765899658203,-5.91223001480103,-10809.6787109375,7200.34130859375,-410.470764160156
1154390400127994112,-3079.56469726563,6211.59033203125,-337.091156005859,0.0,-11046.1953125,7060.8671875,218.335510253906
1154390400128124928,-3162.47607421875,6235.298828125,-171.502517700195,0.0,-11230.15234375,6912.67626953125,847.141784667969
1154390400128254976,-3233.54296875,6241.22607421875,-5.91387987136841,0.0,-11370.310546875,6729.61669921875,1441.01440429688
1154390400128385024,-3310.53198242188,6235.298828125,165.588638305664,0.0,-11422.8701171875,6537.84033203125,2034.88696289063
1154390400128515072,-3363.83227539063,6211.59033203125,325.263397216797,5.91223001480103,-11484.189453125,6311.19482421875,2593.82592773438
1154390400128645120,-3423.0546875,6176.02783203125,496.765899658203,0.0,-11563.0283203125,6049.681640625,3135.2978515625
1154390400128775936,-3482.27709960938,6122.68408203125,662.354553222656,5.91223001480103,-11633.1064453125,5770.7333984375,3650.56982421875
1154390400128905984,-3529.65502929688,6057.486328125,833.857055664063,5.91223001480103,-11676.90625,5465.63427734375,4148.37451171875
1154390400129036032,-3577.03271484375,5974.5068359375,1005.35955810547,0.0,-11668.146484375,5134.3837890625,4619.9794921875
1154390400129166080,-3606.64404296875,5885.6005859375,1182.77600097656,0.0,-11571.7880859375,4785.69873046875,5100.3173828125
1154390400129295872,-3636.25512695313,5784.83984375,1348.36462402344,0.0,-11492.94921875,4428.296875,5580.65576171875
1154390400129426944,-3659.94409179688,5666.29833984375,1525.78100585938,0.0,-11405.3505859375,4097.04638671875,6069.72705078125
1154390400129556992,-3671.78857421875,5541.8291015625,1697.28356933594,0.0,-11300.2314453125,3748.36157226563,6558.798828125
1154390400129687040,-3683.63305664063,5405.50634765625,1862.87219238281,5.91223001480103,-11177.59375,3417.11108398438,7056.603515625
1154390400129817088,-3671.78857421875,5245.474609375,2016.63305664063,0.0,-11037.435546875,3085.86059570313,7554.40869140625
1154390400129946880,-3659.94409179688,5079.51611328125,2170.39379882813,0.0,-10879.7578125,2772.04418945313,8034.74658203125
1154390400130077952,-3636.25512695313,4895.7763671875,2318.24096679688,0.0,-10722.080078125,2423.359375,8471.41796875
1154390400130208000,-3588.87719726563,4700.1826171875,2454.26025390625,5.91223001480103,-10529.36328125,2092.10888671875,8890.6220703125
1154390400130338048,-3547.42163085938,4486.80712890625,2590.279296875,0.0,-10310.3662109375,1725.98974609375,9266.1591796875
1154390400130468096,-3482.27709960938,4267.5048828125,2726.29858398438,0.0,-10100.1298828125,1342.4365234375,9615.49609375
1154390400130597888,-3411.21020507813,4036.34838867188,2838.66235351563,0.0,-9854.853515625,967.600341796875,9938.6328125
1154390400130728960,-3322.37646484375,3799.26489257813,2956.93994140625,0.0,-9557.017578125,584.047058105469,10244.3017578125
1154390400130859008,-3227.62060546875,3544.39990234375,3063.38989257813,0.0,-9250.421875,200.493759155273,10523.771484375
1154390400130989056,-3126.94262695313,3283.60791015625,3163.92578125,5.91223001480103,-8900.02734375,-174.342407226563,10777.041015625
1154390400131119104,-3014.42016601563,3016.88891601563,3258.5478515625,0.0,-8523.353515625,-566.61279296875,11012.8427734375
