09-19-2026 12:11:36 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48C/48.062C soc2@47.75C/47.906C soc0@48.187C/48.218C gpu@47.968C/48.343C tj@48.062C/48.343C soc1@46.937C/47.062C VDD_IN 4512mW/4707mW/4904mW VDD_CPU_GPU_CV 1036mW/1155mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:36 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.718C/48.062C soc2@47.812C/47.906C soc0@48.093C/48.218C gpu@47.937C/48.343C tj@48.093C/48.343C soc1@47.031C/47.062C VDD_IN 4472mW/4668mW/4904mW VDD_CPU_GPU_CV 996mW/1129mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:36 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.875C/48.062C soc2@47.812C/47.906C soc0@48.062C/48.218C gpu@48.406C/48.406C tj@48.406C/48.406C soc1@47.062C/47.062C VDD_IN 4432mW/4634mW/4904mW VDD_CPU_GPU_CV 956mW/1104mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 12:11:36 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/48.062C soc2@47.75C/47.906C soc0@48.156C/48.218C gpu@47.968C/48.406C tj@48.156C/48.406C soc1@46.875C/47.062C VDD_IN 4392mW/4604mW/4904mW VDD_CPU_GPU_CV 917mW/1081mW/1313mW VDD_SOC 1317mW/1350mW/1355mW
09-19-2026 12:11:36 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.812C/48.062C soc2@47.656C/47.906C soc0@48.187C/48.218C gpu@47.968C/48.406C tj@48.187C/48.406C soc1@46.906C/47.062C VDD_IN 4353mW/4576mW/4904mW VDD_CPU_GPU_CV 917mW/1063mW/1313mW VDD_SOC 1317mW/1347mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/48.062C soc2@47.687C/47.906C soc0@48.031C/48.218C gpu@48.312C/48.406C tj@48.312C/48.406C soc1@47C/47.062C VDD_IN 4353mW/4554mW/4904mW VDD_CPU_GPU_CV 877mW/1044mW/1313mW VDD_SOC 1317mW/1344mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/48.062C soc2@47.75C/47.906C soc0@48.093C/48.218C gpu@47.968C/48.406C tj@48.093C/48.406C soc1@47C/47.062C VDD_IN 4353mW/4536mW/4904mW VDD_CPU_GPU_CV 878mW/1029mW/1313mW VDD_SOC 1317mW/1341mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/48.062C soc2@47.781C/47.906C soc0@48.093C/48.218C gpu@47.937C/48.406C tj@48.093C/48.406C soc1@46.875C/47.062C VDD_IN 4313mW/4517mW/4904mW VDD_CPU_GPU_CV 878mW/1016mW/1313mW VDD_SOC 1317mW/1339mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.687C/48.062C soc2@47.656C/47.906C soc0@48.156C/48.218C gpu@48.343C/48.406C tj@48.343C/48.406C soc1@46.906C/47.062C VDD_IN 4273mW/4498mW/4904mW VDD_CPU_GPU_CV 878mW/1006mW/1313mW VDD_SOC 1317mW/1337mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48C/48.062C soc2@47.75C/47.906C soc0@47.968C/48.218C gpu@47.906C/48.406C tj@48C/48.406C soc1@46.875C/47.062C VDD_IN 4273mW/4482mW/4904mW VDD_CPU_GPU_CV 838mW/994mW/1313mW VDD_SOC 1317mW/1336mW/1355mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,75%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@48.218C/48.218C soc2@47.718C/47.906C soc0@48C/48.218C gpu@47.968C/48.406C tj@48.218C/48.406C soc1@47.062C/47.062C VDD_IN 4432mW/4479mW/4904mW VDD_CPU_GPU_CV 956mW/991mW/1313mW VDD_SOC 1357mW/1337mW/1357mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 17% cpu@48.343C/48.343C soc2@47.75C/47.906C soc0@48C/48.218C gpu@48.093C/48.406C tj@48.343C/48.406C soc1@47.093C/47.093C VDD_IN 4592mW/4486mW/4904mW VDD_CPU_GPU_CV 1116mW/999mW/1313mW VDD_SOC 1355mW/1339mW/1357mW
09-19-2026 12:11:37 RAM 3830/7486MB (lfb 41x4MB) CPU [9%@1497,0%@1497,100%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 11% cpu@48.375C/48.375C soc2@47.718C/47.906C soc0@48.062C/48.218C gpu@47.968C/48.406C tj@48.375C/48.406C soc1@46.875C/47.093C VDD_IN 4704mW/4499mW/4904mW VDD_CPU_GPU_CV 1196mW/1011mW/1313mW VDD_SOC 1355mW/1339mW/1357mW
09-19-2026 12:11:37 RAM 3831/7486MB (lfb 41x4MB) CPU [20%@1497,36%@1497,100%@1497,30%@1497,0%@1497,9%@1497] GR3D_FREQ 15% cpu@48.5C/48.5C soc2@47.843C/47.906C soc0@48.156C/48.218C gpu@48C/48.406C tj@48.5C/48.5C soc1@46.875C/47.093C VDD_IN 4904mW/4521mW/4904mW VDD_CPU_GPU_CV 1353mW/1030mW/1353mW VDD_SOC 1355mW/1340mW/1357mW
09-19-2026 12:11:37 RAM 3831/7486MB (lfb 41x4MB) CPU [0%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@48.343C/48.5C soc2@47.812C/47.906C soc0@48C/48.218C gpu@48.062C/48.406C tj@48.343C/48.5C soc1@46.968C/47.093C VDD_IN 4944mW/4543mW/4944mW VDD_CPU_GPU_CV 1393mW/1049mW/1393mW VDD_SOC 1355mW/1341mW/1357mW
