09-18-2026 21:12:10 RAM 3669/7486MB (lfb 49x4MB) CPU [63%@1497,70%@1497,63%@1497,63%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@49C/49.5C soc2@48.312C/48.437C soc0@48.25C/48.5C gpu@48.437C/48.812C tj@49C/49.5C soc1@47.468C/47.468C VDD_IN 6329mW/5780mW/6597mW VDD_CPU_GPU_CV 2658mW/2069mW/2658mW VDD_SOC 1391mW/1410mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [66%@1497,54%@1497,72%@1497,70%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@49.281C/49.5C soc2@48.406C/48.437C soc0@48.187C/48.5C gpu@48.718C/48.812C tj@49.281C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5795mW/6597mW VDD_CPU_GPU_CV 2662mW/2087mW/2662mW VDD_SOC 1391mW/1409mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [75%@1497,72%@1497,66%@1497,66%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@49.062C/49.5C soc2@48.437C/48.437C soc0@48.468C/48.5C gpu@48.562C/48.812C tj@49.062C/49.5C soc1@47.343C/47.468C VDD_IN 6289mW/5809mW/6597mW VDD_CPU_GPU_CV 2623mW/2102mW/2662mW VDD_SOC 1391mW/1409mW/1550mW
09-18-2026 21:12:11 RAM 3668/7486MB (lfb 49x4MB) CPU [50%@1497,60%@1497,70%@1497,50%@1497,60%@1497,70%@1497] GR3D_FREQ 0% cpu@48.968C/49.5C soc2@48.468C/48.468C soc0@48.312C/48.5C gpu@48.468C/48.812C tj@48.968C/49.5C soc1@47.343C/47.468C VDD_IN 6289mW/5822mW/6597mW VDD_CPU_GPU_CV 2623mW/2117mW/2662mW VDD_SOC 1391mW/1408mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [63%@1497,72%@1497,66%@1497,63%@1497,70%@1497,70%@1497] GR3D_FREQ 0% cpu@49.031C/49.5C soc2@48.312C/48.468C soc0@48.375C/48.5C gpu@48.593C/48.812C tj@49.031C/49.5C soc1@47.281C/47.468C VDD_IN 6289mW/5835mW/6597mW VDD_CPU_GPU_CV 2623mW/2130mW/2662mW VDD_SOC 1391mW/1408mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [70%@1497,63%@1497,60%@1497,66%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@49.281C/49.5C soc2@48.437C/48.468C soc0@48.218C/48.5C gpu@48.5C/48.812C tj@49.281C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5847mW/6597mW VDD_CPU_GPU_CV 2623mW/2143mW/2662mW VDD_SOC 1391mW/1407mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [66%@1497,63%@1497,66%@1497,63%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@48.968C/49.5C soc2@48.375C/48.468C soc0@48.468C/48.5C gpu@48.656C/48.812C tj@48.968C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5858mW/6597mW VDD_CPU_GPU_CV 2623mW/2156mW/2662mW VDD_SOC 1391mW/1407mW/1550mW
09-18-2026 21:12:11 RAM 3669/7486MB (lfb 49x4MB) CPU [72%@1497,72%@1497,66%@1497,70%@1497,63%@1497,70%@1497] GR3D_FREQ 0% cpu@49.343C/49.5C soc2@48.437C/48.468C soc0@48.312C/48.5C gpu@48.562C/48.812C tj@49.343C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5869mW/6597mW VDD_CPU_GPU_CV 2623mW/2167mW/2662mW VDD_SOC 1391mW/1406mW/1550mW
09-18-2026 21:12:11 RAM 3668/7486MB (lfb 49x4MB) CPU [66%@1497,66%@1497,60%@1497,63%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@49.156C/49.5C soc2@48.437C/48.468C soc0@48.312C/48.5C gpu@48.718C/48.812C tj@49.156C/49.5C soc1@47.25C/47.468C VDD_IN 6289mW/5879mW/6597mW VDD_CPU_GPU_CV 2623mW/2178mW/2662mW VDD_SOC 1391mW/1406mW/1550mW
09-18-2026 21:12:11 RAM 3668/7486MB (lfb 49x4MB) CPU [63%@1497,66%@1497,66%@1497,63%@1497,66%@1497,69%@1497] GR3D_FREQ 0% cpu@49.187C/49.5C soc2@48.406C/48.468C soc0@48.312C/48.5C gpu@48.906C/48.906C tj@49.187C/49.5C soc1@47.343C/47.468C VDD_IN 6289mW/5889mW/6597mW VDD_CPU_GPU_CV 2623mW/2189mW/2662mW VDD_SOC 1391mW/1406mW/1550mW
