09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,54%@1497,50%@1497,50%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@48.281C/49C soc2@47.781C/47.968C soc0@47.937C/48.062C gpu@48.25C/48.406C tj@48.406C/49C soc1@46.843C/46.968C VDD_IN 5741mW/5416mW/6528mW VDD_CPU_GPU_CV 2149mW/1719mW/2344mW VDD_SOC 1353mW/1392mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,54%@1497,54%@1497,54%@1497,58%@1497,50%@1497] GR3D_FREQ 0% cpu@48.406C/49C soc2@47.937C/47.968C soc0@47.937C/48.062C gpu@47.937C/48.406C tj@48.406C/49C soc1@46.812C/46.968C VDD_IN 5732mW/5429mW/6528mW VDD_CPU_GPU_CV 2149mW/1736mW/2344mW VDD_SOC 1353mW/1391mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,54%@1497,54%@1497,50%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.343C/49C soc2@47.75C/47.968C soc0@47.968C/48.062C gpu@48C/48.406C tj@48.406C/49C soc1@46.843C/46.968C VDD_IN 5732mW/5441mW/6528mW VDD_CPU_GPU_CV 2189mW/1753mW/2344mW VDD_SOC 1353mW/1389mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [54%@1497,54%@1497,54%@1497,61%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@48.312C/49C soc2@47.906C/47.968C soc0@47.875C/48.062C gpu@47.937C/48.406C tj@48.312C/49C soc1@46.906C/46.968C VDD_IN 5732mW/5451mW/6528mW VDD_CPU_GPU_CV 2189mW/1769mW/2344mW VDD_SOC 1353mW/1388mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [50%@1497,50%@1497,54%@1497,50%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.5C/49C soc2@47.906C/47.968C soc0@48C/48.062C gpu@48.031C/48.406C tj@48.5C/49C soc1@46.843C/46.968C VDD_IN 5732mW/5461mW/6528mW VDD_CPU_GPU_CV 2189mW/1784mW/2344mW VDD_SOC 1353mW/1387mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [70%@1497,54%@1497,54%@1497,63%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.5C/49C soc2@47.968C/47.968C soc0@47.843C/48.062C gpu@48C/48.406C tj@48.5C/49C soc1@46.843C/46.968C VDD_IN 5811mW/5474mW/6528mW VDD_CPU_GPU_CV 2225mW/1800mW/2344mW VDD_SOC 1353mW/1385mW/1550mW
09-18-2026 21:11:20 RAM 3591/7486MB (lfb 57x4MB) CPU [66%@1497,60%@1497,63%@1497,63%@1497,55%@1497,60%@1497] GR3D_FREQ 0% cpu@48.468C/49C soc2@47.843C/47.968C soc0@48.031C/48.062C gpu@48.062C/48.406C tj@48.468C/49C soc1@46.812C/46.968C VDD_IN 5891mW/5487mW/6528mW VDD_CPU_GPU_CV 2265mW/1815mW/2344mW VDD_SOC 1393mW/1386mW/1550mW
09-18-2026 21:11:21 RAM 3591/7486MB (lfb 57x4MB) CPU [58%@1497,54%@1497,45%@1497,50%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.406C/49C soc2@47.968C/47.968C soc0@47.812C/48.062C gpu@48.281C/48.406C tj@48.406C/49C soc1@47.031C/47.031C VDD_IN 5891mW/5500mW/6528mW VDD_CPU_GPU_CV 2265mW/1830mW/2344mW VDD_SOC 1393mW/1386mW/1550mW
09-18-2026 21:11:21 RAM 3592/7486MB (lfb 57x4MB) CPU [45%@1497,54%@1497,58%@1497,58%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@48.531C/49C soc2@47.843C/47.968C soc0@48.031C/48.062C gpu@48.187C/48.406C tj@48.531C/49C soc1@46.843C/47.031C VDD_IN 5851mW/5511mW/6528mW VDD_CPU_GPU_CV 2265mW/1843mW/2344mW VDD_SOC 1353mW/1385mW/1550mW
09-18-2026 21:11:21 RAM 3592/7486MB (lfb 57x4MB) CPU [58%@1497,63%@1497,58%@1497,58%@1497,50%@1497,61%@1497] GR3D_FREQ 0% cpu@48.406C/49C soc2@47.968C/47.968C soc0@48C/48.062C gpu@48C/48.406C tj@48.531C/49C soc1@46.812C/47.031C VDD_IN 5851mW/5522mW/6528mW VDD_CPU_GPU_CV 2265mW/1856mW/2344mW VDD_SOC 1353mW/1384mW/1550mW
