09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/47.062C soc2@46.343C/46.375C soc0@46.562C/46.75C gpu@46.843C/47C tj@46.843C/47.062C soc1@45.687C/45.687C VDD_IN 4472mW/4500mW/4944mW VDD_CPU_GPU_CV 1076mW/1044mW/1273mW VDD_SOC 1317mW/1327mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.25C/46.375C soc0@46.625C/46.75C gpu@46.687C/47C tj@46.687C/47.062C soc1@45.437C/45.687C VDD_IN 4472mW/4499mW/4944mW VDD_CPU_GPU_CV 1076mW/1045mW/1273mW VDD_SOC 1317mW/1326mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.343C/46.375C soc0@46.687C/46.75C gpu@46.656C/47C tj@46.687C/47.062C soc1@45.5C/45.687C VDD_IN 4472mW/4498mW/4944mW VDD_CPU_GPU_CV 1076mW/1046mW/1273mW VDD_SOC 1315mW/1326mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,16%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.062C soc2@46.281C/46.375C soc0@46.593C/46.75C gpu@46.593C/47C tj@46.656C/47.062C soc1@45.687C/45.687C VDD_IN 4472mW/4497mW/4944mW VDD_CPU_GPU_CV 1076mW/1047mW/1273mW VDD_SOC 1315mW/1326mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47.062C soc2@46.375C/46.375C soc0@46.625C/46.75C gpu@46.656C/47C tj@46.656C/47.062C soc1@45.625C/45.687C VDD_IN 4472mW/4497mW/4944mW VDD_CPU_GPU_CV 1076mW/1048mW/1273mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.25C/46.375C soc0@46.625C/46.75C gpu@46.656C/47C tj@46.656C/47.062C soc1@45.562C/45.687C VDD_IN 4512mW/4497mW/4944mW VDD_CPU_GPU_CV 1076mW/1048mW/1273mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [8%@1497,8%@1497,40%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.343C/46.375C soc0@46.656C/46.75C gpu@46.5C/47C tj@46.656C/47.062C soc1@45.468C/45.687C VDD_IN 4512mW/4498mW/4944mW VDD_CPU_GPU_CV 1076mW/1049mW/1273mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:00:25 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/47.062C soc2@46.312C/46.375C soc0@46.531C/46.75C gpu@46.718C/47C tj@46.718C/47.062C soc1@45.562C/45.687C VDD_IN 4472mW/4497mW/4944mW VDD_CPU_GPU_CV 1076mW/1050mW/1273mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,33%@1497,40%@1497,90%@1497,27%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.062C soc2@46.343C/46.375C soc0@46.593C/46.75C gpu@46.625C/47C tj@47.062C/47.062C soc1@45.531C/45.687C VDD_IN 4672mW/4501mW/4944mW VDD_CPU_GPU_CV 1236mW/1054mW/1273mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,27%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.312C/46.375C soc0@46.593C/46.75C gpu@46.593C/47C tj@46.593C/47.062C soc1@45.406C/45.687C VDD_IN 4672mW/4505mW/4944mW VDD_CPU_GPU_CV 1196mW/1058mW/1273mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.343C/46.375C soc0@46.656C/46.75C gpu@46.593C/47C tj@46.656C/47.062C soc1@45.531C/45.687C VDD_IN 4592mW/4508mW/4944mW VDD_CPU_GPU_CV 1156mW/1060mW/1273mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.343C/46.375C soc0@46.593C/46.75C gpu@46.593C/47C tj@46.593C/47.062C soc1@45.562C/45.687C VDD_IN 4592mW/4509mW/4944mW VDD_CPU_GPU_CV 1156mW/1062mW/1273mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47.062C soc2@46.343C/46.375C soc0@46.562C/46.75C gpu@46.562C/47C tj@46.75C/47.062C soc1@45.656C/45.687C VDD_IN 4552mW/4510mW/4944mW VDD_CPU_GPU_CV 1116mW/1064mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.281C/46.375C soc0@46.593C/46.75C gpu@46.656C/47C tj@46.656C/47.062C soc1@45.5C/45.687C VDD_IN 4552mW/4511mW/4944mW VDD_CPU_GPU_CV 1116mW/1065mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.25C/46.375C soc0@46.718C/46.75C gpu@46.593C/47C tj@46.718C/47.062C soc1@45.437C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1116mW/1066mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.25C/46.375C soc0@46.593C/46.75C gpu@46.531C/47C tj@46.593C/47.062C soc1@45.5C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1116mW/1067mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:26 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.312C/46.375C soc0@46.625C/46.75C gpu@46.625C/47C tj@46.625C/47.062C soc1@45.593C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1067mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.343C/46.375C soc0@46.593C/46.75C gpu@46.562C/47C tj@46.593C/47.062C soc1@45.593C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1067mW/1273mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [8%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.25C/46.375C soc0@46.593C/46.75C gpu@46.5C/47C tj@46.593C/47.062C soc1@45.437C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47.062C soc2@46.25C/46.375C soc0@46.687C/46.75C gpu@46.625C/47C tj@46.687C/47.062C soc1@45.468C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/47.062C soc2@46.375C/46.375C soc0@46.562C/46.75C gpu@46.562C/47C tj@46.687C/47.062C soc1@45.531C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.062C soc2@46.312C/46.375C soc0@46.562C/46.75C gpu@46.562C/47C tj@46.562C/47.062C soc1@45.625C/45.687C VDD_IN 4472mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.312C/46.375C soc0@46.625C/46.75C gpu@46.562C/47C tj@46.625C/47.062C soc1@45.5C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@46.593C/47.062C soc2@46.25C/46.375C soc0@46.687C/46.75C gpu@46.5C/47C tj@46.687C/47.062C soc1@45.406C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.281C/46.375C soc0@46.5C/46.75C gpu@46.5C/47C tj@46.593C/47.062C soc1@45.531C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1068mW/1273mW VDD_SOC 1315mW/1322mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/47.062C soc2@46.25C/46.375C soc0@46.593C/46.75C gpu@46.5C/47C tj@46.593C/47.062C soc1@45.625C/45.687C VDD_IN 4512mW/4511mW/4944mW VDD_CPU_GPU_CV 1076mW/1069mW/1273mW VDD_SOC 1315mW/1321mW/1355mW
09-18-2026 22:00:27 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/47.062C soc2@46.25C/46.375C soc0@46.593C/46.75C gpu@46.5C/47C tj@46.593C/47.062C soc1@45.375C/45.687C VDD_IN 4472mW/4510mW/4944mW VDD_CPU_GPU_CV 1076mW/1069mW/1273mW VDD_SOC 1315mW/1321mW/1355mW
09-18-2026 22:00:28 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.062C soc2@46.25C/46.375C soc0@46.718C/46.75C gpu@46.468C/47C tj@46.718C/47.062C soc1@45.5C/45.687C VDD_IN 4472mW/4509mW/4944mW VDD_CPU_GPU_CV 1076mW/1069mW/1273mW VDD_SOC 1315mW/1321mW/1355mW
