feeder,report,offset_bytes,n_ch,n_samples
3,900,1010688,6,128
6,900,1013760,6,128
3,901,1016832,6,128
6,901,1019904,6,128
3,902,1022976,6,128
6,902,1026048,6,128
3,903,1029120,6,128
6,903,1032192,6,128
3,904,1035264,6,128
6,904,1038336,6,128
3,905,1041408,6,128
6,905,1044480,6,128
3,906,1047552,6,128
6,906,1050624,6,128
3,907,1053696,6,128
3,908,1056768,6,128
3,909,1059840,6,128
8,1010,1062912,6,128
8,1011,1065984,6,128
8,1012,1069056,6,128
8,1013,1072128,6,128
8,1014,1075200,6,128
8,1015,1078272,6,128
8,1016,1081344,6,128
8,1017,1084416,6,128
8,1018,1087488,6,128
8,1019,1090560,6,128
8,1020,1093632,6,128
10,1014,1096704,6,128
10,1015,1099776,6,128
10,1016,1102848,6,128
10,1017,1105920,6,128
10,1018,1108992,6,128
10,1019,1112064,6,128
10,1020,1115136,6,128
8,1021,1118208,6,128
10,1021,1121280,6,128
8,1022,1124352,6,128
10,1022,1127424,6,128
8,1023,1130496,6,128
10,1023,1133568,6,128
8,1024,1136640,6,128
10,1024,1139712,6,128
8,1025,1142784,6,128
10,1025,1145856,6,128
8,1026,1148928,6,128
10,1026,1152000,6,128
8,1027,1155072,6,128
10,1027,1158144,6,128
8,1028,1161216,6,128
10,1028,1164288,6,128
8,1029,1167360,6,128
10,1029,1170432,6,128
8,1030,1173504,6,128
10,1030,1176576,6,128
8,1031,1179648,6,128
10,1031,1182720,6,128
8,1032,1185792,6,128
10,1032,1188864,6,128
8,1033,1191936,6,128
10,1033,1195008,6,128
10,1034,1198080,6,128
10,1035,1201152,6,128
10,1036,1204224,6,128
10,1037,1207296,6,128
2,1088,1210368,6,128
2,1089,1213440,6,128
2,1090,1216512,6,128
2,1091,1219584,6,128
2,1092,1222656,6,128
2,1093,1225728,6,128
2,1094,1228800,6,128
2,1095,1231872,6,128
2,1096,1234944,6,128
2,1097,1238016,6,128
2,1098,1241088,6,128
2,1099,1244160,6,128
2,1100,1247232,6,128
2,1101,1250304,6,128
2,1102,1253376,6,128
2,1103,1256448,6,128
2,1104,1259520,6,128
2,1105,1262592,6,128
2,1106,1265664,6,128
2,1107,1268736,6,128
2,1108,1271808,6,128
2,1109,1274880,6,128
5,1109,1277952,6,128
5,1110,1281024,6,128
5,1111,1284096,6,128
5,1112,1287168,6,128
5,1113,1290240,6,128
5,1114,1293312,6,128
5,1115,1296384,6,128
5,1116,1299456,6,128
5,1117,1302528,6,128
5,1118,1305600,6,128
5,1119,1308672,6,128
5,1120,1311744,6,128
5,1121,1314816,6,128
5,1122,1317888,6,128
5,1123,1320960,6,128
5,1124,1324032,6,128
5,1125,1327104,6,128
5,1126,1330176,6,128
5,1127,1333248,6,128
5,1128,1336320,6,128
5,1129,1339392,6,128
5,1130,1342464,6,128
