method,variant,scope,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events
ATE-Q,+dead-release only,all 7 records,0.3725795682172268,0.750720493695638,0.23406040268456377,0.9127589967284624,0.9069767441860465,43,39,2,1,0.1564031387143596,0.00022857889237199583,2.4942129629629632,381006.6830617172,42,26
ATE-Q,+dead-release only,record 677 only,0.07266187050359713,0.21882993318794952,0.038403041825095054,0.6733333333333333,0.9090909090909091,11,10,2,1,0.2620018692200332,0.0018286311389759666,10.694444444444445,166831.49302478702,6,4
ATE-Q,+latch-timeout only,all 7 records,0.5363665491829541,0.7553305048178509,0.3797640653357532,0.9127589967284624,0.9069767441860465,43,39,2,1,0.13687022682143152,0.00022857889237199583,2.4942129629629632,381006.75167249155,42,26
ATE-Q,+latch-timeout only,record 677 only,0.1434659090909091,0.24879500548233346,0.08028616852146264,0.6733333333333333,0.9090909090909091,11,10,2,1,0.12527148596953644,0.0018286311389759666,10.694444444444445,166831.97330020784,6,4
ATE-Q,+both (recommendation 1),all 7 records,0.5363665491829541,0.7553305048178509,0.3797640653357532,0.9127589967284624,0.9069767441860465,43,39,2,1,0.13687022682143152,0.00022857889237199583,2.4942129629629632,381006.75167249155,42,26
ATE-Q,+both (recommendation 1),record 677 only,0.1434659090909091,0.24879500548233346,0.08028616852146264,0.6733333333333333,0.9090909090909091,11,10,2,1,0.12527148596953644,0.0018286311389759666,10.694444444444445,166831.97330020784,6,4
ATE-S,baseline,all 7 records,0.3792344918609767,0.8078771827539387,0.237531000275558,0.9400218102508179,0.9534883720930233,43,41,4,1,0.15844133834399307,0.0004245036572622779,1.7147435897435899,357180.7304914067,42,26
ATE-S,baseline,record 677 only,0.07826396300249022,0.2809935915248565,0.04133784291619692,0.7333333333333333,1.0,11,11,4,1,0.2647719308623491,0.0033960292580982234,8.020833333333334,166718.6257328934,6,4
ATE-S,+dead-release only,all 7 records,0.3792344918609767,0.8078771827539387,0.237531000275558,0.9400218102508179,0.9534883720930233,43,41,4,1,0.15844133834399307,0.0004245036572622779,1.7147435897435899,357180.7304914067,42,26
ATE-S,+dead-release only,record 677 only,0.07826396300249022,0.2809935915248565,0.04133784291619692,0.7333333333333333,1.0,11,11,4,1,0.2647719308623491,0.0033960292580982234,8.020833333333334,166718.6257328934,6,4
ATE-S,+latch-timeout only,all 7 records,0.5431632010081916,0.8128126158783555,0.3819229065130704,0.9400218102508179,0.9534883720930233,43,41,4,1,0.13890842645106496,0.0004245036572622779,1.7147435897435899,357180.7986131714,42,26
