09-18-2026 22:04:32 RAM 3488/7486MB (lfb 15x4MB) CPU [54%@1497,54%@1497,54%@1497,63%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@47.093C/47.406C soc2@46.562C/46.687C soc0@46.781C/46.843C gpu@46.625C/47.156C tj@47.093C/47.406C soc1@45.625C/45.843C VDD_IN 5851mW/5194mW/6011mW VDD_CPU_GPU_CV 2305mW/1641mW/2305mW VDD_SOC 1353mW/1359mW/1433mW
09-18-2026 22:04:32 RAM 3479/7486MB (lfb 15x4MB) CPU [63%@1497,63%@1497,60%@1497,58%@1497,60%@1497,66%@1497] GR3D_FREQ 0% cpu@47.562C/47.562C soc2@46.687C/46.687C soc0@46.593C/46.843C gpu@46.718C/47.156C tj@47.562C/47.562C soc1@45.718C/45.843C VDD_IN 5931mW/5223mW/6011mW VDD_CPU_GPU_CV 2344mW/1669mW/2344mW VDD_SOC 1393mW/1361mW/1433mW
09-18-2026 22:04:32 RAM 3485/7486MB (lfb 15x4MB) CPU [63%@1497,54%@1497,61%@1497,63%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@47.25C/47.562C soc2@46.687C/46.687C soc0@46.656C/46.843C gpu@46.875C/47.156C tj@47.25C/47.562C soc1@45.625C/45.843C VDD_IN 5931mW/5251mW/6011mW VDD_CPU_GPU_CV 2344mW/1695mW/2344mW VDD_SOC 1353mW/1361mW/1433mW
09-18-2026 22:04:32 RAM 3485/7486MB (lfb 15x4MB) CPU [66%@1497,54%@1497,60%@1497,58%@1497,58%@1497,54%@1497] GR3D_FREQ 0% cpu@47.125C/47.562C soc2@46.593C/46.687C soc0@46.812C/46.843C gpu@47.093C/47.156C tj@47.343C/47.562C soc1@45.531C/45.843C VDD_IN 5931mW/5276mW/6011mW VDD_CPU_GPU_CV 2384mW/1720mW/2384mW VDD_SOC 1393mW/1362mW/1433mW
09-18-2026 22:04:32 RAM 3485/7486MB (lfb 15x4MB) CPU [58%@1497,58%@1497,58%@1497,54%@1497,60%@1497,58%@1497] GR3D_FREQ 0% cpu@47.406C/47.562C soc2@46.656C/46.687C soc0@46.625C/46.843C gpu@46.781C/47.156C tj@47.406C/47.562C soc1@45.718C/45.843C VDD_IN 5971mW/5301mW/6011mW VDD_CPU_GPU_CV 2384mW/1744mW/2384mW VDD_SOC 1393mW/1363mW/1433mW
09-18-2026 22:04:32 RAM 3485/7486MB (lfb 15x4MB) CPU [70%@1497,60%@1497,70%@1497,80%@1497,72%@1497,70%@1497] GR3D_FREQ 0% cpu@47.375C/47.562C soc2@46.656C/46.687C soc0@46.656C/46.843C gpu@47.218C/47.218C tj@47.375C/47.562C soc1@45.531C/45.843C VDD_IN 6090mW/5328mW/6090mW VDD_CPU_GPU_CV 2424mW/1767mW/2424mW VDD_SOC 1391mW/1364mW/1433mW
09-18-2026 22:04:32 RAM 3485/7486MB (lfb 15x4MB) CPU [63%@1497,63%@1497,63%@1497,54%@1497,60%@1497,58%@1497] GR3D_FREQ 0% cpu@47.562C/47.562C soc2@46.656C/46.687C soc0@46.656C/46.843C gpu@47C/47.218C tj@47.562C/47.562C soc1@45.687C/45.843C VDD_IN 6050mW/5352mW/6090mW VDD_CPU_GPU_CV 2424mW/1789mW/2424mW VDD_SOC 1391mW/1365mW/1433mW
09-18-2026 22:04:33 RAM 3485/7486MB (lfb 15x4MB) CPU [63%@1497,54%@1497,54%@1497,54%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@47.218C/47.562C soc2@46.75C/46.75C soc0@46.718C/46.843C gpu@46.718C/47.218C tj@47.218C/47.562C soc1@45.843C/45.843C VDD_IN 6050mW/5374mW/6090mW VDD_CPU_GPU_CV 2424mW/1810mW/2424mW VDD_SOC 1393mW/1366mW/1433mW
09-18-2026 22:04:33 RAM 3485/7486MB (lfb 15x4MB) CPU [60%@1497,60%@1497,60%@1497,50%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@47.343C/47.562C soc2@46.656C/46.75C soc0@46.718C/46.843C gpu@47.093C/47.218C tj@47.343C/47.562C soc1@45.75C/45.843C VDD_IN 6011mW/5394mW/6090mW VDD_CPU_GPU_CV 2424mW/1829mW/2424mW VDD_SOC 1393mW/1366mW/1433mW
09-19-2026 11:53:22 RAM 3570/7486MB (lfb 9x4MB) CPU [0%@1497,18%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.187C/48.187C soc2@48.031C/48.031C soc0@48.093C/48.093C gpu@48.312C/48.312C tj@48.312C/48.312C soc1@47.125C/47.125C VDD_IN 6090mW/6090mW/6090mW VDD_CPU_GPU_CV 2265mW/2265mW/2265mW VDD_SOC 1430mW/1430mW/1430mW
