report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
44,0.375000,15068,1.582375,59.89076,0,15009.5,3.688031,60.09325,0,15179.9,-0.501048,60.03264,0,55.1784,1.619526,60.00117,0,46.3245,3.721960,60.07111,0,43.7208,-0.567672,60.01515,0,PMU
45,0.383333,15040.8,1.589133,60.12906,0,14949.6,3.684247,59.92773,0,15273.8,-0.501719,59.98718,0,55.3998,1.620502,60.01865,0,46.3145,3.718725,59.93822,0,44.1797,-0.566457,60.02320,0,PMU
46,0.391667,15067.4,1.583657,59.89542,0,15009.4,3.689374,60.09792,0,15178.9,-0.499705,60.03847,0,55.6089,1.620747,60.00466,0,46.8165,3.723364,60.08859,0,44.2393,-0.563284,60.06062,0,PMU
47,0.400000,15039.3,1.590293,60.12673,0,14948.1,3.685406,59.92423,0,15272.4,-0.500560,59.98368,0,55.7463,1.622883,60.04080,0,46.6368,3.720801,59.95104,0,44.4961,-0.562795,60.00933,0,PMU
48,0.408333,15066.2,1.585000,59.89892,0,15008.4,3.690533,60.09792,0,15179.4,-0.498485,60.03963,0,55.8002,1.621967,59.98251,0,46.9253,3.724340,60.06760,0,44.3634,-0.562490,60.00583,0,PMU
49,0.416667,15037.6,1.591513,60.12440,0,14946.2,3.686566,59.92423,0,15271,-0.499339,59.98368,0,55.584,1.622700,60.01399,0,46.4458,3.720679,59.93006,0,44.2936,-0.563528,59.98018,0,PMU
50,0.425000,15065.8,1.586081,59.89625,0,15006.1,3.691632,60.09675,0,15177.6,-0.497508,60.03497,0,55.361,1.621723,59.98135,0,46.4328,3.724524,60.07343,0,43.8601,-0.565359,59.96503,0,PMU
51,0.433333,15040,1.592917,60.13056,0,14948.1,3.687970,59.93006,0,15272.4,-0.497935,59.99184,0,55.2475,1.622761,60.01982,0,46.1183,3.720984,59.93240,0,43.953,-0.564443,60.01749,0,PMU
52,0.441667,15067.3,1.587668,59.89975,0,15008.4,3.693280,60.10141,0,15179.3,-0.495860,60.03963,0,55.1964,1.622333,59.99184,0,46.2715,3.724829,60.07343,0,43.6893,-0.564382,60.00117,0,PMU
53,0.450000,15039.8,1.594382,60.12822,0,14947.2,3.689435,59.92657,0,15272.4,-0.496470,59.98834,0,55.2709,1.625263,60.05595,0,46.0939,3.723059,59.96620,0,43.8968,-0.563162,60.02331,0,PMU
54,0.458333,15065.4,1.589011,59.89742,0,15006.6,3.694561,60.09791,0,15177.7,-0.494517,60.03730,0,55.3168,1.624775,59.99067,0,46.3923,3.727880,60.09208,0,43.8043,-0.561330,60.03497,0,PMU
55,0.466667,15039,1.595419,60.12240,0,14947.4,3.690533,59.92307,0,15271.9,-0.495372,59.98368,0,55.4418,1.627704,60.05595,0,46.233,3.725073,59.94638,0,44.0811,-0.559072,60.04313,0,PMU
56,0.475000,15069.1,1.590415,59.90441,0,15009.7,3.695965,60.10374,0,15182,-0.493175,60.04196,0,55.5019,1.626484,59.97669,0,46.5002,3.728125,60.05828,0,44.0044,-0.559805,59.98601,0,PMU
57,0.483333,15036.4,1.596701,60.12006,0,14944.5,3.691876,59.92190,0,15268.5,-0.494151,59.98135,0,55.2645,1.627033,60.01049,0,45.9827,3.725683,59.95337,0,43.8834,-0.559805,60.00000,0,PMU
58,0.491667,15070.4,1.591574,59.90208,0,15010.2,3.697125,60.10024,0,15183.4,-0.492076,60.03963,0,54.9158,1.626240,59.98485,0,45.8699,3.727453,60.03380,0,43.4734,-0.561086,59.97552,0,PMU
59,0.500000,15039.1,1.598349,60.12939,0,14947.4,3.693280,59.92656,0,15273.2,-0.492625,59.98951,0,54.6382,1.626606,60.00699,0,45.3043,3.724462,59.94288,0,43.2283,-0.563711,59.94988,0,PMU
60,0.508333,15068.1,1.592856,59.89509,0,15008.2,3.698407,60.09792,0,15180.2,-0.490794,60.03497,0,54.3867,1.625507,59.97902,0,45.2862,3.729162,60.08976,0,42.8173,-0.564077,59.99301,0,PMU
