tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
6,72,0,0.07692307692307693,1.0,0.14285714285714288,1,1,1.0,0,0.0,0.0,0.06532663316582915,15.307692307692307,1194,True,907,Current.Ic,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Va,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vb,empirical-Q (causal),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vc,empirical-Q (causal),,
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Current.Ia,empirical-Q (causal),,
0,0,3,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,22,True,971,Current.Ib,empirical-Q (causal),,
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Current.Ic,empirical-Q (causal),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,per-channel statistical (offline oracle),,
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,per-channel statistical (offline oracle),,
5,1,0,0.8333333333333334,1.0,0.9090909090909091,1,1,1.0,0,0.0,0.0,0.02564102564102564,39.0,234,True,45,Voltage.Vc,per-channel statistical (offline oracle),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,per-channel statistical (offline oracle),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ib,per-channel statistical (offline oracle),,
6,20,0,0.23076923076923078,1.0,0.375,1,1,1.0,0,0.0,0.0,0.1111111111111111,9.0,234,True,45,Current.Ic,per-channel statistical (offline oracle),,
156,26,0,0.8571428571428571,1.0,0.923076923076923,2,2,1.0,0,0.0,0.0,0.7777777777777778,1.2857142857142856,234,True,55,Voltage.Va,per-channel statistical (offline oracle),,
69,107,3,0.39204545454545453,0.9583333333333334,0.5564516129032259,2,2,1.0,0,1.5,12.5,0.7521367521367521,1.3295454545454546,234,True,55,Voltage.Vb,per-channel statistical (offline oracle),,
42,19,4,0.6885245901639344,0.9130434782608695,0.7850467289719626,3,3,1.0,0,0.0,0.0,0.2606837606837607,3.8360655737704916,234,True,55,Voltage.Vc,per-channel statistical (offline oracle),,
