09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,40%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 5% cpu@46.968C/47.093C soc2@46.75C/46.937C soc0@47.125C/47.25C gpu@47.218C/47.343C tj@47.218C/47.343C soc1@46.062C/46.156C VDD_IN 4552mW/4502mW/4712mW VDD_CPU_GPU_CV 1036mW/958mW/1036mW VDD_SOC 1315mW/1326mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.093C soc2@46.812C/46.937C soc0@47.218C/47.25C gpu@47.031C/47.343C tj@47.218C/47.343C soc1@45.937C/46.156C VDD_IN 4552mW/4504mW/4712mW VDD_CPU_GPU_CV 1076mW/963mW/1076mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,9%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.093C soc2@46.781C/46.937C soc0@47.062C/47.25C gpu@47.281C/47.343C tj@47.281C/47.343C soc1@45.968C/46.156C VDD_IN 4552mW/4506mW/4712mW VDD_CPU_GPU_CV 1076mW/967mW/1076mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,9%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.093C soc2@46.906C/46.937C soc0@47.062C/47.25C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@46C/46.156C VDD_IN 4552mW/4508mW/4712mW VDD_CPU_GPU_CV 1076mW/971mW/1076mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.093C soc2@46.781C/46.937C soc0@47.062C/47.25C gpu@47.062C/47.343C tj@47.062C/47.343C soc1@45.968C/46.156C VDD_IN 4552mW/4509mW/4712mW VDD_CPU_GPU_CV 1076mW/975mW/1076mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.093C soc2@46.75C/46.937C soc0@47.187C/47.25C gpu@47.25C/47.343C tj@47.25C/47.343C soc1@45.968C/46.156C VDD_IN 4552mW/4511mW/4712mW VDD_CPU_GPU_CV 1076mW/979mW/1076mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.25C soc2@46.812C/46.937C soc0@47.062C/47.25C gpu@47.125C/47.343C tj@47.25C/47.343C soc1@46.031C/46.156C VDD_IN 4552mW/4512mW/4712mW VDD_CPU_GPU_CV 1076mW/982mW/1076mW VDD_SOC 1315mW/1324mW/1355mW
09-18-2026 20:58:48 RAM 3183/7486MB (lfb 51x4MB) CPU [9%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.25C soc2@46.843C/46.937C soc0@47.031C/47.25C gpu@47C/47.343C tj@47.062C/47.343C soc1@46.093C/46.156C VDD_IN 4592mW/4515mW/4712mW VDD_CPU_GPU_CV 1076mW/985mW/1076mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 20:58:49 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,8%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.25C soc2@46.906C/46.937C soc0@47C/47.25C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@46.187C/46.187C VDD_IN 4592mW/4517mW/4712mW VDD_CPU_GPU_CV 1076mW/988mW/1076mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 20:58:49 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.25C soc2@46.75C/46.937C soc0@47.093C/47.25C gpu@47.125C/47.343C tj@47.125C/47.343C soc1@45.875C/46.187C VDD_IN 4552mW/4518mW/4712mW VDD_CPU_GPU_CV 1076mW/990mW/1076mW VDD_SOC 1315mW/1323mW/1355mW
